"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","ADOT"
"","2973","30842","","9c21e9af-681c-41ef-9b00-fbc9e1668ed1","Marcedes Lewis","Broncos","89","TE","55.7","0","2","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","7808","39973","","5c48ade7-4b9a-4757-9643-87a6e3839e2b","DeAndre Hopkins","Ravens","10","WR","82.3","36","216","111","43","24","358","14.9","2","15","1","0","0","26","19","12","68","2.8","14.5"
"","7816","39983","","de3421f7-2147-4835-89a5-724e87bad463","Zach Ertz","Commanders","86","TE","63.3","68","403","150","80","54","521","9.7","4","25","7","1","0","63","16","11","131","2.4","9.4"
"","7844","40011","","c3859e06-5f23-4302-a71b-04820a899d5f","Travis Kelce","Chiefs","87","TE","74","98","613","242","107","77","853","11.1","5","46","8","1","0","87","9","4","430","5.6","7.1"
"","7857","40024","","5f424505-f29f-433c-b3f2-1a143a04a010","Keenan Allen","Chargers","13","WR","76.1","94","523","228","130","85","833","9.8","4","51","8","2","0","96","27","12","252","3.0","8.7"
"","7912","40078","","67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6","Kyle Juszczyk","49ers","44","FB","66.2","34","253","31","35","29","273","9.4","2","13","0","0","0","30","6","3","150","5.2","4.0"
"","8288","40488","","2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4","Adam Thielen","Steelers","16","WR","57.3","32","277","125","35","22","213","9.7","0","12","3","0","0","27","10","5","55","2.5","8.7"
"","8641","41232","","ee9c975e-68f9-49cc-886d-f1d00286305d","Jake Matthews","Falcons","70","T","42","1","1","1","1","0","0","0.0","0","0","1","0","0","1","0","0","0","0.0","6.0"
"","8642","41233","","c48c21d9-0ae5-478c-ad34-30a660cfa9b8","Mike Evans","Buccaneers","13","WR","71.2","54","252","143","69","32","409","12.8","3","23","4","0","0","39","26","12","36","1.1","14.9"
"","8655","41246","0","b6b954eb-4591-4b7a-86b9-a481f15fdd58","Brandin Cooks","Bills","18","WR","57.2","37","421","152","47","29","357","12.3","0","18","2","0","0","32","17","11","55","1.9","17.0"
"","8688","41282","","e7d6ae25-bf15-4660-8b37-c37716551de3","Davante Adams","Rams","17","WR","83.9","116","539","309","144","74","1015","13.7","15","61","10","0","0","91","38","11","163","2.2","14.3"
"","9025","41563","","4c22d0dd-3f8e-4abf-84ca-7f08c046e3a5","Cornelius Lucas","Browns","71","T","59.7","0","1","1","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","9434","42344","65024","fb3b36fc-b985-4807-8199-d038d7e62a93","Jameis Winston","Giants","19","QB","99.3","1","1","0","1","1","33","33.0","1","1","0","0","0","1","0","0","18","18.0","15.0"
"","9487","42397","59359","c5e430c5-7a8e-4e29-b30f-1a527f05cb89","Ameer Abdullah","Colts","26","HB","81.7","15","60","1","17","16","99","6.2","0","4","0","0","0","16","1","1","106","6.6","-0.4"
"","9502","42412","58090","dffa69ad-331e-4f09-ae38-40a5a4406be6","Tyler Lockett","Raiders","17","WR","52.8","39","396","150","59","33","297","9.0","1","14","4","0","0","37","12","3","86","2.6","7.5"
"","9579","42489","51209","a1c40664-b265-4083-aad2-54b4c734f2c5","Stefon Diggs","Patriots","08","WR","82.6","97","574","249","127","100","1174","11.7","5","55","3","0","0","105","16","12","410","4.1","9.1"
"","9637","42547","66514","14c97c9f-26e8-4944-9299-f90de6aeada3","Darren Waller","Dolphins","83","TE","87.6","31","170","61","36","25","298","11.9","6","19","0","0","0","26","8","5","69","2.8","11.9"
"","9783","42718","57106","b040e601-ec40-4757-bf3d-71bf64ef99cf","Raheem Mostert","Raiders","31","HB","66.8","10","86","3","12","12","70","5.8","0","6","0","0","0","12","0","0","86","7.2","-1.3"
"","10211","42302","","7c7b5515-7786-4e24-9ce0-34e6a8bd5727","Chris Manhertz","Giants","85","TE","47","0","16","2","2","1","7","7.0","0","0","0","0","0","1","0","0","6","6.0","6.5"
"","10635","43290","127679","aba8f925-ffbf-4654-bfa7-a25d3d237494","Jared Goff","Lions","16","QB","61.7","2","5","0","1","1","1","1.0","0","0","0","0","0","1","1","1","2","2.0","-1.0"
"","10636","43291","67961","e9a5c16b-4472-4be9-8030-3f77be7890cb","Carson Wentz","Vikings","11","QB","56.7","0","2","1","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","10657","43312","119107","2e0badcd-b78c-40ee-a83b-a1bbb36bc545","Laquon Treadwell","Colts","13","WR","53","0","18","6","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","10669","43324","115292","705899da-3c20-4bc3-b5d0-2e6e40655131","Hunter Henry","Patriots","85","TE","75.3","93","601","246","105","74","945","12.8","8","46","6","0","0","82","25","13","392","5.3","8.9"
"","10674","43329","51105","1ffc735b-74d8-44d2-ab32-00c5485c799f","Sterling Shepard","Buccaneers","17","WR","62.8","46","379","169","59","40","385","9.6","1","18","1","1","1","42","13","5","157","3.9","9.1"
"","10679","43334","127843","87c481c7-7414-43cc-82df-19ca0c2ae22e","Derrick Henry","Ravens","22","HB","59.1","12","160","7","19","15","150","10.0","0","4","1","0","0","16","0","0","139","9.3","0.9"
"","10715","43370","122658","90c2a93f-d837-4e1b-b57c-56648903a8db","Austin Hooper","Patriots","81","TE","67.3","30","254","75","34","24","287","12.0","2","16","0","0","0","24","6","4","105","4.4","9.3"
"","10728","43383","53554","c731aa8a-778b-4ccd-a19f-517eb66f47b7","Nick Vannett","Rams","38","TE","48.5","0","10","4","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","10741","43396","72512","0b504d67-639b-4ba8-979a-498a3086257b","Chris Moore","Commanders","19","WR","57.3","26","257","114","23","11","207","18.8","1","10","3","0","0","15","8","3","55","5.0","16.7"
