"","down","ydstogo","yardline_100","touchdown"
"1",NA,0,NA,NA
"2",NA,0,35,0
"3",1,10,78,0
"4",2,7,75,0
"5",1,10,64,0
"6",2,21,75,0
"7",3,23,77,0
"8",4,22,76,0
"9",1,10,77,0
"10",2,7,74,0
"11",3,7,74,0
"12",4,7,74,0
"13",1,10,66,0
"14",2,5,61,0
"15",1,10,48,0
"16",2,9,47,0
"17",3,9,47,0
"18",1,10,34,0
"19",1,15,39,0
"20",2,15,39,0
"21",3,3,27,0
"22",1,10,22,0
"23",2,7,19,0
"24",3,7,19,0
"25",3,12,24,0
"26",4,12,24,0
"27",NA,0,35,0
"28",1,10,75,0
"29",1,10,64,0
"30",2,8,62,0
"31",1,10,49,0
"32",1,15,54,0
"33",2,5,44,0
"34",2,15,54,0
"35",1,10,49,0
"36",2,1,40,0
"37",1,10,38,0
"38",1,15,43,0
"39",2,9,37,0
"40",NA,0,NA,NA
"41",1,10,25,0
"42",2,3,18,1
"43",NA,0,15,0
"44",NA,0,35,0
"45",1,10,65,0
"46",2,4,59,0
"47",1,10,14,0
"48",2,6,10,0
"49",3,2,6,0
"50",1,3,3,0
"51",1,1,1,0
"52",2,1,1,1
"53",NA,0,15,0
"54",NA,0,35,0
"55",1,10,55,0
"56",2,6,51,0
"57",3,1,46,0
"58",3,5,50,0
"59",1,10,40,0
"60",2,5,35,0
"61",3,1,31,0
"62",1,10,23,0
"63",2,8,21,0
"64",3,8,21,0
"65",4,5,18,0
"66",NA,0,35,0
"67",1,10,71,0
"68",2,10,71,0
"69",3,10,71,0
"70",1,10,60,0
"71",1,10,43,0
"72",1,20,53,0
"73",2,23,56,0
"74",3,12,45,0
"75",1,10,20,0
"76",1,5,15,0
"77",1,8,8,0
"78",2,4,4,1
"79",NA,0,15,0
"80",NA,0,35,0
"81",1,10,71,0
"82",NA,0,NA,NA
"83",NA,0,35,0
"84",1,10,85,0
"85",2,8,83,0
"86",1,10,66,0
"87",2,9,65,0
"88",3,7,63,0
"89",4,13,69,0
"90",1,10,81,0
"91",2,11,82,0
"92",1,10,30,0
"93",2,10,30,0
"94",3,10,30,0
"95",4,12,32,0
"96",NA,0,35,0
"97",1,10,73,0
"98",2,10,73,0
"99",1,10,61,0
"100",2,7,58,0
"101",3,7,58,0
"102",1,10,47,0
"103",1,15,52,0
"104",2,7,44,0
"105",3,1,38,0
"106",1,10,36,0
"107",2,2,28,0
"108",3,4,30,0
"109",1,10,25,0
"110",2,10,25,0
"111",3,5,20,0
"112",4,5,20,0
"113",1,10,72,0
"114",2,3,65,0
"115",1,10,60,0
"116",2,8,58,0
"117",3,4,54,0
"118",4,11,61,0
"119",1,10,73,0
"120",2,7,70,0
"121",1,10,63,0
"122",NA,0,NA,NA
"123",2,9,62,0
"124",3,8,61,0
"125",3,13,66,0
"126",4,7,60,0
"127",1,10,94,0
"128",1,13,97,0
"129",2,13,97,0
"130",3,11,95,0
"131",1,10,83,0
"132",2,8,81,0
"133",1,10,71,0
"134",1,10,60,0
"135",2,10,60,0
"136",3,9,59,0
"137",4,9,59,0
"138",1,10,83,0
"139",2,10,83,0
"140",3,10,83,0
"141",3,15,88,0
"142",4,15,88,0
"143",1,10,40,0
"144",2,7,37,0
"145",3,3,33,0
"146",1,10,28,0
"147",2,12,30,0
"148",2,21,39,0
"149",3,17,35,0
"150",NA,0,NA,0
"151",4,10,28,0
"152",1,10,64,0
"153",2,4,58,0
"154",1,10,37,0
"155",2,5,32,0
"156",1,10,19,0
"157",1,3,3,0
"158",2,3,3,0
"159",3,5,5,0
"160",4,5,5,0
"161",4,10,10,0
"162",NA,0,35,0
"163",1,10,74,0
"164",NA,0,NA,0
"165",2,7,71,0
"166",NA,0,NA,0
"167",3,4,68,0
"168",4,19,83,0
"169",1,10,58,0
"170",2,10,58,0
"171",3,1,49,0
"172",1,10,43,0
"173",2,5,38,0
"174",1,10,33,0
"175",2,10,33,0
"176",3,10,33,0
"177",4,1,24,0
"178",1,10,18,0
"179",2,10,18,0
"180",3,10,18,0
"181",4,10,18,0
"182",NA,0,NA,NA
"183",NA,0,NA,NA
"184",NA,0,35,0
"185",1,10,50,0
"186",2,2,42,0
"187",1,10,39,0
"188",2,7,36,0
"189",3,7,36,0
"190",3,2,31,0
"191",1,10,14,0
"192",2,11,15,1
"193",NA,0,15,0
"194",NA,0,35,0
"195",1,10,69,0
"196",2,4,63,0
"197",3,3,62,0
"198",1,10,59,0
"199",2,5,54,0
"200",3,3,52,0
"201",1,10,41,0
"202",1,10,28,0
"203",2,9,27,0
"204",1,10,22,0
"205",2,10,22,0
"206",3,2,14,0
"207",3,7,19,0
"208",4,22,34,0
"209",NA,0,35,0
"210",1,10,65,0
"211",2,1,56,0
"212",3,1,56,0
"213",4,3,58,0
"214",1,10,85,0
"215",1,10,74,0
"216",1,10,54,0
"217",NA,0,NA,NA
"218",2,8,52,0
"219",3,3,47,0
"220",1,10,30,1
"221",NA,0,15,0
"222",NA,0,35,0
"223",1,10,77,0
"224",2,10,77,0
"225",3,6,73,0
"226",4,6,73,0
"227",1,10,69,0
"228",2,5,64,0
"229",1,10,15,0
"230",2,5,10,1
"231",NA,0,15,0
"232",NA,0,35,0
"233",1,10,70,0
"234",2,3,63,0
"235",1,10,55,0
"236",2,10,55,0
"237",3,9,54,0
"238",1,10,37,0
"239",1,10,25,0
"240",2,3,18,0
"241",3,3,18,0
"242",1,10,12,0
"243",2,10,12,0
"244",3,8,10,0
"245",4,5,7,0
"246",NA,0,35,0
"247",1,10,54,0
"248",1,10,37,0
"249",2,5,32,0
"250",NA,0,NA,0
"251",3,5,32,0
"252",NA,0,NA,0
"253",1,10,17,0
"254",NA,0,NA,0
"255",2,25,32,0
"256",NA,0,NA,0
"257",3,24,31,0
"258",4,24,31,0
"259",NA,0,35,0
"260",1,10,73,0
"261",1,10,47,0
"262",NA,0,NA,0
"263",2,10,47,0
"264",1,10,25,0
"265",NA,0,NA,NA
"266",NA,0,35,0
"267",1,10,65,0
"268",2,7,62,0
"269",3,7,62,0
"270",1,10,23,1
"271",NA,0,15,0
"272",NA,0,35,0
"273",1,10,60,0
"274",2,5,55,0
"275",3,2,52,0
"276",1,10,47,0
"277",1,10,36,0
"278",2,10,36,0
"279",3,8,34,0
"280",4,5,31,0
"281",1,4,4,0
"282",2,2,2,1
"283",NA,0,15,0
"284",NA,0,1,0
"285",NA,0,35,0
"286",1,10,67,0
"287",2,5,62,0
"288",3,10,67,0
"289",4,10,67,0
"290",1,10,84,0
"291",2,10,84,0
"292",2,18,92,0
"293",3,1,75,0
"294",1,10,73,0
"295",2,8,71,0
"296",3,8,71,0
"297",4,8,71,0
"298",1,10,68,0
"299",1,10,32,0
"300",2,7,29,1
"301",NA,0,15,0
"302",NA,0,35,0
"303",1,10,84,0
"304",2,6,80,0
"305",NA,0,NA,NA
"306",1,10,72,0
"307",1,10,57,0
"308",2,6,53,0
"309",3,6,53,0
"310",1,2,2,0
"311",2,2,2,1
"312",NA,0,2,0
"313",NA,0,35,0
"314",1,10,65,0
"315",2,10,65,0
"316",3,10,65,0
"317",1,10,46,1
"318",NA,0,15,0
"319",NA,0,35,0
"320",1,10,72,0
"321",2,1,63,0
"322",1,10,57,0
"323",2,10,57,0
"324",3,1,48,0
"325",3,11,58,0
"326",4,16,63,0
"327",1,10,65,0
"328",2,7,62,0
"329",3,8,63,0
"330",3,13,68,0
"331",4,4,59,0
"332",1,10,80,0
"333",1,10,59,0
"334",2,4,53,0
"335",1,10,44,0
"336",2,10,44,0
"337",3,3,37,0
"338",1,10,29,0
"339",1,10,18,0
"340",2,10,18,0
"341",3,10,18,0
"342",4,2,10,1
"343",NA,0,15,0
"344",NA,0,35,0
"345",1,10,72,0
"346",1,10,59,0
"347",1,10,30,0
"348",1,1,1,0
"349",2,1,1,0
"350",3,1,1,1
"351",NA,0,2,0
"352",NA,0,35,0
"353",1,10,69,0
"354",NA,0,NA,0
"355",2,9,68,0
"356",NA,0,NA,0
"357",3,9,68,0
"358",NA,0,NA,0
"359",4,3,62,0
"360",1,10,80,0
"361",2,4,74,0
"362",1,10,66,0
"363",2,5,61,0
"364",2,10,66,0
"365",1,10,34,0
"366",NA,0,NA,0
"367",1,9,9,0
"368",NA,0,NA,0
"369",2,11,11,0
"370",NA,0,NA,0
"371",3,12,12,0
"372",4,14,14,0
"373",NA,0,NA,NA
"374",NA,0,NA,NA
"375",NA,0,35,0
"376",1,10,72,0
"377",2,10,72,0
"378",3,1,63,0
"379",4,1,63,0
"380",1,10,59,0
"381",1,20,69,0
"382",2,20,69,0
"383",3,10,59,0
"384",1,10,35,0
"385",1,20,45,0
"386",2,10,35,0
"387",1,10,19,0
"388",2,22,31,0
"389",3,12,21,0
"390",4,8,17,0
"391",NA,0,35,0
"392",1,10,71,0
"393",2,5,66,0
"394",3,2,63,0
"395",1,10,60,0
"396",2,3,53,0
"397",3,1,51,0
"398",1,10,49,0
"399",2,10,49,0
"400",3,7,46,0
"401",1,10,35,0
"402",2,5,30,0
"403",3,5,30,0
"404",4,5,30,0
"405",NA,0,35,0
"406",1,10,78,0
"407",NA,0,NA,NA
"408",2,6,74,0
"409",3,3,71,0
"410",4,5,73,0
"411",1,10,84,0
"412",2,1,75,0
"413",1,10,35,0
"414",2,3,28,0
"415",3,3,28,0
"416",1,10,21,0
"417",2,4,15,0
"418",3,3,14,0
"419",1,10,10,0
"420",2,6,6,1
"421",NA,0,15,0
"422",NA,0,NA,NA
"423",NA,0,NA,NA
"424",NA,0,35,0
"425",1,10,78,0
"426",2,8,76,0
"427",3,6,74,0
"428",1,10,62,0
"429",2,10,62,0
"430",3,11,63,0
"431",1,10,41,0
"432",2,8,39,0
"433",NA,0,NA,0
"434",3,8,39,0
"435",4,8,39,0
"436",1,10,91,0
"437",1,10,20,0
"438",2,2,12,0
"439",NA,0,NA,0
"440",NA,0,NA,0
"441",1,9,9,1
"442",NA,0,15,0
"443",NA,0,35,0
"444",1,10,60,0
"445",1,15,65,0
"446",2,7,57,0
"447",1,10,39,0
"448",2,10,39,0
"449",3,10,39,0
"450",1,10,68,0
"451",NA,0,NA,0
"452",2,7,65,0
"453",1,10,58,0
"454",1,10,47,0
"455",2,10,47,0
"456",NA,0,NA,0
"457",2,15,52,0
"458",NA,0,NA,0
"459",1,10,29,0
"460",NA,0,50,0
"461",1,10,80,0
"462",NA,0,NA,NA
"463",NA,0,35,0
"464",1,10,60,0
"465",2,1,51,0
"466",1,10,49,0
"467",2,1,40,0
"468",3,1,40,0
"469",1,10,14,0
"470",2,2,6,0
"471",3,2,6,0
"472",4,1,5,0
"473",1,10,94,0
"474",2,7,91,0
"475",3,7,91,0
"476",4,7,91,0
"477",1,10,73,0
"478",2,6,69,0
"479",3,3,66,0
"480",1,10,60,0
"481",2,1,51,0
"482",3,1,51,0
"483",4,13,63,0
"484",1,10,86,0
"485",2,10,86,0
"486",3,10,86,0
"487",1,10,69,0
"488",1,18,77,0
"489",1,28,87,0
"490",2,24,83,0
"491",1,10,38,0
"492",2,10,38,0
"493",2,15,43,0
"494",NA,0,NA,0
"495",3,6,34,0
"496",4,5,33,0
"497",1,10,67,0
"498",NA,0,NA,NA
"499",2,8,65,0
"500",1,10,53,0
"501",2,10,53,0
"502",1,10,43,0
"503",2,8,41,0
"504",3,2,35,0
"505",4,1,34,0
"506",1,10,31,0
"507",2,10,31,0
"508",3,8,29,0
"509",1,10,19,0
"510",2,9,18,0
"511",2,14,23,0
"512",3,14,23,0
"513",4,9,18,0
"514",NA,0,35,0
"515",1,10,80,0
"516",1,10,59,0
"517",2,1,50,0
"518",1,10,47,0
"519",2,10,47,0
"520",3,10,47,0
"521",1,10,32,0
"522",2,10,32,0
"523",3,10,32,0
"524",4,10,32,0
"525",1,10,27,1
"526",NA,0,15,0
"527",NA,0,35,0
"528",1,10,48,0
"529",NA,0,NA,0
"530",1,10,34,0
"531",NA,0,NA,0
"532",2,10,34,0
"533",1,10,17,0
"534",2,5,12,0
"535",3,4,11,0
"536",4,3,10,0
"537",NA,0,35,0
"538",1,10,65,0
"539",2,8,63,0
"540",3,5,60,0
"541",1,10,55,0
"542",1,10,48,0
"543",2,11,49,0
"544",NA,0,NA,NA
"545",NA,0,NA,NA
"546",NA,0,35,0
"547",1,10,68,0
"548",1,10,56,0
"549",2,11,57,0
"550",2,6,52,0
"551",3,1,47,0
"552",1,10,46,0
"553",2,10,46,0
"554",3,4,40,0
"555",1,10,27,0
"556",1,14,31,0
"557",2,7,24,0
"558",3,1,18,0
"559",1,10,13,0
"560",2,2,5,1
"561",NA,0,15,0
"562",NA,0,35,0
"563",1,10,67,0
"564",2,5,62,0
"565",1,10,57,0
"566",2,5,52,0
"567",3,3,50,0
"568",4,1,48,0
"569",1,10,46,0
"570",1,10,41,0
"571",2,3,34,0
"572",3,3,34,0
"573",1,10,28,0
"574",1,20,38,0
"575",2,13,31,0
"576",3,9,27,0
"577",1,10,23,0
"578",NA,0,NA,NA
"579",2,7,20,0
"580",1,4,4,0
"581",2,2,2,0
"582",3,1,1,0
"583",4,1,1,1
"584",NA,0,15,0
"585",NA,0,35,0
"586",NA,0,NA,0
"587",1,10,61,0
"588",2,9,60,0
"589",3,8,59,0
"590",1,10,45,0
"591",2,9,44,0
"592",3,9,44,0
"593",4,7,42,0
"594",1,10,80,0
"595",2,8,78,0
"596",3,8,78,0
"597",4,8,78,0
"598",1,10,54,0
"599",2,7,51,0
"600",1,10,31,0
"601",2,4,25,0
"602",3,2,23,0
"603",1,10,18,0
"604",1,3,3,0
"605",2,3,3,0
"606",3,1,1,1
"607",NA,0,15,0
"608",NA,0,35,0
"609",1,10,78,0
"610",2,10,78,0
"611",1,10,61,0
"612",2,11,62,0
"613",1,10,43,0
"614",2,10,43,0
"615",3,1,34,0
"616",1,10,32,0
"617",2,7,29,0
"618",NA,0,NA,0
"619",3,5,27,0
"620",4,5,27,0
"621",NA,0,35,0
"622",1,10,74,0
"623",NA,0,NA,0
"624",2,2,66,0
"625",NA,0,NA,NA
"626",NA,0,35,0
"627",1,10,69,0
"628",2,3,62,0
"629",3,3,62,0
"630",1,10,44,0
"631",1,20,54,0
"632",2,9,43,0
"633",3,9,43,0
"634",1,10,30,0
"635",2,10,30,0
"636",2,15,35,0
"637",3,1,21,0
"638",1,10,16,0
"639",2,10,16,0
"640",3,3,9,0
"641",1,5,5,1
"642",NA,0,15,0
"643",NA,0,35,0
"644",1,10,80,0
"645",2,5,75,0
"646",3,2,72,0
"647",4,2,72,0
"648",1,10,75,0
"649",2,16,81,0
"650",1,10,34,0
"651",2,9,33,0
"652",3,9,33,0
"653",1,10,23,0
"654",2,4,17,0
"655",3,4,17,0
"656",4,4,17,0
"657",NA,0,35,0
"658",1,10,75,0
"659",2,6,71,0
"660",3,4,69,0
"661",1,10,44,0
"662",NA,0,NA,NA
"663",2,9,43,0
"664",3,5,39,0
"665",4,5,39,0
"666",1,10,61,0
"667",2,9,60,0
"668",NA,0,NA,0
"669",3,9,60,0
"670",4,9,60,0
"671",1,10,80,0
"672",2,2,72,0
"673",1,10,67,0
"674",1,10,45,0
"675",2,13,48,0
"676",3,7,42,0
"677",4,7,42,0
"678",1,10,80,0
"679",NA,0,NA,0
"680",2,16,86,0
"681",3,21,91,0
"682",4,28,98,0
"683",1,10,42,0
"684",2,7,39,0
"685",3,7,39,0
"686",1,10,26,0
"687",2,10,26,0
"688",3,6,22,0
"689",1,10,13,0
"690",2,10,13,0
"691",3,9,12,0
"692",4,15,18,0
"693",1,10,74,0
"694",NA,0,NA,0
"695",2,11,75,0
"696",3,1,65,0
"697",4,1,65,0
"698",4,6,70,0
"699",1,10,67,0
"700",2,1,58,0
"701",1,10,40,0
"702",NA,0,NA,0
"703",2,12,42,0
"704",NA,0,NA,0
"705",2,7,37,0
"706",NA,0,NA,0
"707",3,12,42,0
"708",4,15,45,0
"709",4,20,50,0
"710",1,10,99,0
"711",2,10,99,0
"712",3,4,93,0
"713",3,7,96,0
"714",NA,0,NA,NA
"715",NA,0,NA,NA
"716",NA,0,35,0
"717",1,10,53,0
"718",2,3,46,0
"719",1,10,42,0
"720",2,4,36,0
"721",3,1,33,0
"722",1,1,1,0
"723",1,1,1,1
"724",NA,0,15,0
"725",NA,0,35,0
"726",1,10,70,0
"727",2,2,62,0
"728",1,10,59,0
"729",2,3,52,0
"730",1,10,36,0
"731",2,4,30,0
"732",1,10,25,0
"733",1,5,5,0
"734",2,3,3,0
"735",3,4,4,1
"736",NA,0,15,0
"737",NA,0,35,0
"738",1,10,88,0
"739",2,7,85,0
"740",1,10,67,0
"741",2,5,62,0
"742",3,2,59,0
"743",1,10,33,0
"744",1,20,43,0
"745",2,23,46,0
"746",1,10,12,0
