"","gsis_id","display_name","common_first_name","first_name","last_name","short_name","football_name","suffix","esb_id","nfl_id","pfr_id","pff_id","otc_id","espn_id","smart_id","birth_date","position_group","position","ngs_position_group","ngs_position","height","weight","headshot","college_name","college_conference","jersey_number","rookie_season","last_season","latest_team","status","ngs_status","ngs_status_short_description","years_of_experience","pff_position","pff_status","draft_year","draft_round","draft_pick","draft_team"
"1","00-0028830","Isaako Aaitui","Isaako","Isaako","Aaitui",NA,NA,NA,"AAI622937",NA,"AaitIs00","6998","2535","14856","32004141-4962-2937-61ff-017b1804dec6","1987-01-25","DL","NT",NA,NA,76,307,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hwncbbaztu3pc5unqgnj","UNLV",NA,"0",2011,2014,"WAS","DEV",NA,NA,2,"DI",NA,NA,NA,NA,NA
"2","00-0038389","Israel Abanikanda","Israel","Israel","Abanikanda","I.Abanikanda","Israel",NA,"ABA159567","56008","AbanIs00","122999","10967","4429202","32004142-4115-9567-2e24-0eab29f6a4b9","2002-10-05","RB","RB","RB","RB",70,216,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uegr8w0frbrrqmlalg48","Pittsburgh","Atlantic Coast Conference",NA,2023,2026,"DAL","ACT","RES","Reserve/Future",3,"HB","A",2023,5,143,"NYJ"
"3","00-0024644","Jon Abbate","Jon","Jon","Abbate",NA,NA,NA,"ABB051371",NA,NA,NA,NA,NA,"32004142-4205-1371-db95-1abc96313b69","1985-06-18","LB","LB",NA,NA,71,245,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gi1ncvxcsz8vyi5a4fxp","Wake Forest",NA,"67",2007,2007,"HOU","RES",NA,NA,0,NA,NA,NA,NA,NA,NA
"4","ABB498348","Vince Abbott","Vince","Vincent","Abbott",NA,NA,NA,"ABB498348",NA,"abbotvin01",NA,NA,NA,"32004142-4249-8348-e00f-5fbbe6a0c73c","1958-05-31","SPEC","K",NA,NA,71,207,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g1xvyvzrfbrtbeqjvqgf","California State-Fullerton; Washington",NA,"0",1987,1988,"LAC","ACT",NA,NA,2,NA,NA,NA,NA,NA,NA
"5","00-0031021","Jared Abbrederis","Jared","Jared","Abbrederis","J.Abbrederis","Jared",NA,"ABB650964","41405","AbbrJa00","8811","3115","16836","32004142-4265-0964-fc36-bb0ad76ff6e6","1990-12-17","WR","WR","WR","WR",73,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p5gqmcyci9youm2r6oeb","Wisconsin",NA,"10",2014,2017,"DET","CUT","CUT",NA,4,"WR",NA,2014,5,176,"GB"
"6","00-0032860","Mehdi Abdesmad","Mehdi","Mehdi","Abdesmad","M.Abdesmad","Mehdi",NA,"ABD171953","43927","AbdeMe00","11322","5370","2576467","32004142-4417-1953-b577-2572c35b54c1","1991-09-28","DL","DE","DL","INTERIOR_LINE",78,284,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tzefn7gt3kbzufpa1jxb","Boston College",NA,"68",2016,2016,"TEN","RES","CUT",NA,0,"DI",NA,NA,NA,NA,NA
"7","00-0028564","Isa Abdul-Quddus","Isa","Isa","Abdul-Quddus",NA,"Isa",NA,"ABD688172","38044","AbduIs00","6722","1495","14466","32004142-4468-8172-c46a-6ab92c1db0ec","1989-08-03","DB","S",NA,NA,73,196,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wbmpf9gwwtipcoyrmpr4","Fordham","Patriot League","24",2011,2016,"MIA","RES","ACT","Active",6,"S",NA,NA,NA,NA,NA
"8","00-0032104","Ameer Abdullah","Ameer","Ameer","Abdullah","A.Abdullah","Ameer",NA,"ABD647726","42397","AbduAm00","9487","3902","2576336","32004142-4464-7726-b649-e09413abd27c","1993-06-13","RB","RB","RB","RB",69,203,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jvkgnlj5fn16mnmdyr4i","Nebraska","Big Ten Conference","26",2015,2026,"IND","UFA","ACT","Active",12,"HB","A",2015,2,54,"DET"
"9","00-0023663","Hamza Abdullah","Hamza","Hamza","Abdullah",NA,NA,NA,"ABD655601","30059","AbduHa20","2448","6814","8645","32004142-4465-5601-b9f3-0ea6cfefd92f","1983-08-20","DB","DB",NA,NA,74,216,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jucikqcrbovbzuqeee1f","Washington State",NA,"23",2005,2011,"ARI","ACT",NA,NA,7,"S",NA,2005,7,231,"TB"
"10","00-0025940","Husain Abdullah","Husain","Husain","Abdullah",NA,"Husain",NA,"ABD660476","33465","AbduHu99","4652","800","11910","32004142-4466-0476-f505-0cb007da0036","1985-07-27","DB","FS",NA,NA,72,204,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jemlffvblcblzmqrozm5","Washington State","Pacific Ten Conference","39",2008,2015,"KC","ACT","ACT","Active",7,"S",NA,NA,NA,NA,NA
"11","00-0021957","Khalid Abdullah","Khalid","Khalid","Abdullah",NA,NA,NA,"ABD666569","28172","AbduKh20",NA,NA,"4594","32004142-4466-6569-23c6-e44e130c2d87","1979-03-06","LB","LB",NA,NA,74,227,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vaa42guq07hfx3ptuejr","Mars Hill",NA,"53",2003,2004,"CIN","RES",NA,NA,2,NA,NA,2003,5,136,"CIN"
"12","00-0000007","Rabih Abdullah","Rabih","Rabih","Abdullah",NA,NA,NA,"ABD675101",NA,"AbduRa00",NA,NA,"1703","32004142-4467-5101-8326-4b71f9f0a7b7","1975-04-27","RB","RB",NA,NA,72,235,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t5s9srq092solu73m9v5","Lehigh University",NA,"27",1998,2004,"NE","ACT",NA,NA,7,NA,NA,NA,NA,NA,NA
"13","00-0000008","Rahim Abdullah","Rahim","Rahim","Abdullah",NA,NA,NA,"ABD683351","24556","AbduRa20",NA,NA,"3998258","32004142-4468-3351-1adf-75b6d3d47e03","1976-03-22","LB","OLB",NA,NA,77,233,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cybn2rgg19bvq5gnmqlz","Clemson",NA,"53",1999,2000,"CLE","ACT",NA,NA,2,NA,NA,1999,2,45,"CLE"
