"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","Snaps","ATH PER","MAX SPD","AVG MAX","SPD PER","20+ MPH","15+ MPH","ACC PER","COD PER"
"","70767","","351692","","Damien Moore","LAMAR","28","HB","40","8.2","15.9","14.7","17.1","0","2","11.1","11.8"
"","72376","","338868","","Cam Davis","MINNESOTA","23","HB","157","63.4","18.1","17.6","35.2","0","10","66.2","75.9"
"","73289","","351917","","Ikaika Ragsdale","STNY BROOK","00","HB","98","61.7","18.1","16.6","69.4","0","10","60.4","43.8"
"","73621","","352078","","Elijah Gilliam","FRESNO ST","33","HB","113","70.4","19.9","18.6","70.5","0","9","74.0","66.0"
"","76606","","304710","","Jalynn Williams","PITTSBURGH","35","HB","20","1.3","14.5","13.1","4.4","0","0","6.2","2.5"
"","78573","","325746","","Solomon Vanhorse","INDIANA","18","HB","12","30.7","15.2","13.9","14.8","0","1","47.1","25.0"
"","86353","","362119","","Byron Cardwell Jr.","S DIEGO ST","21","HB","84","87.0","20.8","19.1","90.4","1","14","83.7","69.9"
"","97204","","382700","","Juwaun Price","UMASS","28","HB","110","72.2","18.4","16.3","8.1","0","7","43.7","96.7"
"","97303","","328073","","Enoch Nawahine","BYU","21","HB","144","26.2","17.2","16.5","14.4","0","6","3.1","64.4"
"","97403","","325956","","John Emery Jr.","UTSA","14","HB","5","37.9","16.6","9.7","26.1","0","1","28.5","25.0"
"","97815","","350782","","Dawaiian McNeely","VALPO","05","HB","24","53.2","17.0","15.5","41.1","0","3","43.5","63.3"
"","99481","","336503","","Tony Mathis Jr.","MARSHALL","24","HB","22","37.0","15.7","15.1","44.7","0","3","46.1","40.8"
"","99596","","387565","","Garrison Johnson Sr.","CITADEL","22","HB","276","76.5","22.0","19.4","56.3","2","25","50.9","88.5"
"","100221","","351572","","PaSean Wimberly","BOWL GREEN","30","HB","22","59.5","18.7","17.4","86.9","0","10","46.8","52.4"
"","100601","","338913","","Kenan Christon II","JACKSON ST","08","HB","1","22.3","11.3","11.3","26.1","0","0","28.5","25.0"
"","100835","","339690","","Oscar Adaway III","S CAROLINA","27","HB","168","62.3","16.2","16.0","44.2","0","11","47.8","82.0"
"","101649","","352237","","Julius Davis","MONTANA ST","32","HB","174","84.7","20.3","19.2","85.1","1","22","75.6","86.7"
"","101661","","350162","","Shadrick Byrd","PRVIEW A&M","15","HB","63","45.3","16.8","15.9","56.2","0","5","49.4","44.2"
"","103979","","340914","","Jobi Malary","JAMES MAD","28","HB","97","60.7","21.4","18.4","55.7","2","11","61.0","6.2"
"","103985","","336774","","Talmage Brown","SO UTAH","25","HB","3","28.1","16.3","11.5","26.1","0","1","28.5","25.0"
"","103994","","330479","","Dontae McMillan","E MICHIGAN","28","HB","524","98.5","21.1","19.4","96.2","2","78","93.8","98.1"
"","104840","","340320","","Jadon Turner","CENT CT ST","05","HB","18","41.1","15.6","15.0","59.5","0","3","53.6","8.8"
"","104982","","327202","","Marqui Johnson","BETH COOK","02","HB","75","60.5","18.3","16.7","76.6","0","9","54.0","61.3"
"","106016","","375799","","Du'Shaunte Holloway","SVANNAH ST","31","HB","1","22.3","10.6","10.6","26.1","0","0","28.5","25.0"
"","108690","","327534","","Lelan Wilhoite","TENN STATE","38","HB","2","16.9","11.7","10.0","26.1","0","0","28.5","25.0"
"","121347","","347684","","C.J. Evans","SAMFORD","00","HB","366","50.2","20.5","18.0","38.8","1","24","60.8","56.3"
"","121492","","386880","","Justin Jones","AUBURN","35","HB","36","41.5","16.2","15.3","58.0","0","3","46.7","13.5"
"","121537","","347925","","Lincoln Pare","TEXAS ST","07","HB","570","57.1","20.8","19.9","76.8","3","36","16.0","68.1"
"","121644","","347867","","Kyeandre Magloire","W GEORGIA","23","HB","4","28.1","13.8","10.6","26.1","0","0","28.5","25.0"
"","121677","","395881","","Darryle Evans","HOUCHR","10","HB","115","3.5","17.0","16.0","7.7","0","4","3.5","40.1"
"","121815","","382351","","Jalen Montgomery","E KENTUCKY","23","HB","34","5.0","19.2","15.6","13.5","0","2","39.8","36.4"
"","121817","","347833","","Frank Peasant","MEMPHIS","22","HB","163","40.2","17.4","16.6","43.7","0","9","8.3","68.2"
"","122056","","349310","","Miles Davis","UTAH ST","02","HB","472","99.6","21.9","20.7","99.2","4","85","97.2","99.0"
"","122234","","348414","","Anderson Castle","DUKE","04","HB","298","65.5","20.2","18.3","14.0","2","16","17.9","91.7"
"","122306","","348453","","Lamagea McDowell","PRVIEW A&M","23","HB","98","46.8","17.7","16.2","52.7","0","4","43.8","11.3"
"","122318","","348884","","Braydon Bennett","VA TECH","24","HB","28","13.1","15.1","14.8","58.2","0","1","7.7","9.4"
"","122425","","348322","","Darion Williamson","MIAMI OH","03","HB","2","32.6","0.2","0.2","26.1","0","0","28.5","25.0"
"","122562","","348328","","Daniel Hishaw Jr.","KANSAS","09","HB","270","55.2","18.6","18.0","56.0","0","19","10.0","67.0"
"","122614","","430307","","KJ Shankle","TXAMCO","00","HB","109","62.6","17.6","16.9","77.6","0","14","56.5","60.2"
"","122669","","349690","","Harlan Dixon","INCAR WORD","09","HB","36","33.3","15.4","14.8","49.5","0","2","6.2","53.3"
"","122836","","348154","","Elijah Green","SM HOUSTON","21","HB","169","89.2","20.2","18.5","77.9","1","23","91.2","89.2"
"","122936","","349387","","Seth McGowan","KENTUCKY","03","HB","379","94.7","19.9","19.4","93.8","0","49","96.0","88.9"
"","122985","","348619","","Dominic Richardson","TULSA","21","HB","543","94.4","19.7","18.4","77.3","0","60","79.4","98.8"
"","123342","","351894","","Jordan Brunson","MIAMI OH","06","HB","318","45.8","20.5","19.7","52.8","2","19","58.0","0.8"
"","123351","","387086","","Jalen Hampton","W KENTUCKY","23","HB","18","1.9","13.3","13.0","3.1","0","0","7.0","8.6"
"","123472","","348307","","Noah Whittington","OREGON","06","HB","328","85.2","20.9","19.9","91.6","2","34","85.6","73.9"
"","123539","","362244","","Andre Hines Jr.","WAGNER","05","HB","54","54.0","20.2","16.6","37.0","1","3","53.1","6.3"
"","123587","","348770","","Ethan Wright","YNGTOWN ST","02","HB","187","96.4","19.4","18.4","88.8","0","34","96.2","95.1"
"","123640","","349274","","Kejon Owens","FIU","05","HB","468","78.4","22.4","20.6","65.5","3","39","56.5","91.5"
"","123652","","349292","","E.J. Wilson","ABILENE CH","22","HB","180","42.6","19.7","18.3","9.2","0","15","59.9","9.0"
"","123680","","362514","","Stacy Sneed","HOUSTON","21","HB","119","92.8","18.6","18.0","93.5","0","22","92.3","87.8"
"","123939","","349220","","Roydell Williams","FLORIDA ST","05","HB","81","74.7","17.5","16.8","71.9","0","9","62.5","71.7"
