"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","RUSH GRD","KEY","ATT","RUSH YDS","YPC","RUN TD","1D RUSH","FUM","FUML","MTF RUN","YBC","YBC/ATT","YCO","YCO/ATT","SCR"
"","70767","","351692","","Damien Moore","LAMAR","28","HB","60.5","9","30","85","2.8","2","6","0","0","2","24","0.8","61","2.0","0"
"","72376","","338868","","Cam Davis","MINNESOTA","23","HB","64","13","34","114","3.4","2","5","0","0","3","34","1.0","80","2.4","0"
"","73289","","351917","","Ikaika Ragsdale","STNY BROOK","00","HB","64.7","24","65","228","3.5","0","12","0","0","7","89","1.4","139","2.1","0"
"","73621","","352078","","Elijah Gilliam","FRESNO ST","33","HB","75.3","22","44","235","5.3","5","13","0","0","7","134","3.0","101","2.3","0"
"","76606","","304710","","Jalynn Williams","PITTSBURGH","35","HB","63.3","4","6","24","4.0","0","2","0","0","3","5","0.8","19","3.2","0"
"","78573","","325746","","Solomon Vanhorse","INDIANA","18","HB","70.7","6","10","57","5.7","0","3","0","0","1","32","3.2","25","2.5","0"
"","86353","","362119","","Byron Cardwell Jr.","S DIEGO ST","21","HB","80.8","24","50","277","5.5","1","14","0","0","15","86","1.7","191","3.8","0"
"","97071","","337513","","Rondarius Gregory","LINCOLN","02","HB","72.7","5","8","30","3.8","0","1","0","0","6","4","0.5","26","3.3","0"
"","97204","","382700","","Juwaun Price","UMASS","28","HB","64.2","8","29","119","4.1","0","7","0","0","5","26","0.9","93","3.2","0"
"","97303","","328073","","Enoch Nawahine","BYU","21","HB","66.1","11","26","82","3.1","1","6","0","0","4","29","1.1","53","2.0","0"
"","97403","","325956","","John Emery Jr.","UTSA","14","HB","59.2","1","4","4","1.0","0","1","0","0","0","-11","-2.8","15","3.8","0"
"","97815","","350782","","Dawaiian McNeely","VALPO","05","HB","64","27","65","203","3.1","4","8","1","1","8","9","0.1","194","3.0","0"
"","99481","","336503","","Tony Mathis Jr.","MARSHALL","24","HB","53.5","1","8","18","2.3","0","0","0","0","0","9","1.1","9","1.1","0"
"","99596","","387565","","Garrison Johnson Sr.","CITADEL","22","HB","70.6","38","92","491","5.3","6","25","0","0","15","253","2.8","238","2.6","0"
"","100221","","351572","","PaSean Wimberly","BOWL GREEN","30","HB","73.9","6","8","51","6.4","1","4","0","0","4","11","1.4","40","5.0","0"
"","100601","","338913","","Kenan Christon II","JACKSON ST","08","HB","66.8","3","8","23","2.9","0","2","0","0","1","2","0.3","21","2.6","0"
"","100835","","339690","","Oscar Adaway III","S CAROLINA","27","HB","63.2","15","42","143","3.4","1","8","0","0","7","33","0.8","110","2.6","0"
"","101649","","352237","","Julius Davis","MONTANA ST","32","HB","90.7","101","172","1121","6.5","8","52","3","1","48","463","2.7","658","3.8","0"
"","101661","","350162","","Shadrick Byrd","PRVIEW A&M","15","HB","77.7","29","54","291","5.4","1","15","0","0","10","110","2.0","181","3.4","0"
"","103979","","340914","","Jobi Malary","JAMES MAD","28","HB","90.4","27","43","349","8.1","4","22","0","0","8","147","3.4","202","4.7","0"
"","103985","","336774","","Talmage Brown","SO UTAH","25","HB","68.3","1","2","17","8.5","1","1","0","0","2","3","1.5","14","7.0","0"
"","103994","","330479","","Dontae McMillan","E MICHIGAN","28","HB","80.9","95","183","1051","5.7","4","45","1","0","50","357","1.9","694","3.8","0"
"","104840","","340320","","Jadon Turner","CENT CT ST","05","HB","59.3","3","18","61","3.4","0","3","0","0","1","24","1.3","37","2.1","0"
"","104982","","327202","","Marqui Johnson","BETH COOK","02","HB","71.8","22","42","205","4.9","0","13","0","0","4","96","2.3","109","2.6","0"
"","108690","","327534","","Lelan Wilhoite","TENN STATE","38","HB","57.7","2","4","20","5.0","0","1","0","0","1","-3","-0.8","23","5.8","0"
"","121347","","347684","","C.J. Evans","SAMFORD","00","HB","65.1","22","92","250","2.7","2","12","0","0","16","19","0.2","231","2.5","0"
"","121492","","386880","","Justin Jones","AUBURN","35","HB","65.1","7","11","53","4.8","0","3","1","0","2","5","0.5","48","4.4","0"
"","121537","","347925","","Lincoln Pare","TEXAS ST","07","HB","85.6","108","215","1155","5.4","12","71","0","0","33","456","2.1","699","3.3","0"
"","121644","","347867","","Kyeandre Magloire","W GEORGIA","23","HB","59.1","1","5","16","3.2","0","1","0","0","0","10","2.0","6","1.2","0"
"","121677","","395881","","Darryle Evans","HOUCHR","10","HB","60.6","30","82","391","4.8","3","17","1","1","7","206","2.5","185","2.3","0"
"","121815","","382351","","Jalen Montgomery","E KENTUCKY","23","HB","55.2","2","13","32","2.5","0","1","0","0","0","10","0.8","22","1.7","0"
