"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","YPRR"
"","2973","30842","","9c21e9af-681c-41ef-9b00-fbc9e1668ed1","Marcedes Lewis","Broncos","89","TE","55.7","0","2","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.00"
"","7816","39983","","de3421f7-2147-4835-89a5-724e87bad463","Zach Ertz","Commanders","86","TE","63.3","68","403","150","80","54","521","9.7","4","25","7","1","0","63","16","11","131","2.4","1.29"
"","7844","40011","","c3859e06-5f23-4302-a71b-04820a899d5f","Travis Kelce","Chiefs","87","TE","74","98","613","242","107","77","853","11.1","5","46","8","1","0","87","9","4","430","5.6","1.39"
"","9637","42547","66514","14c97c9f-26e8-4944-9299-f90de6aeada3","Darren Waller","Dolphins","83","TE","87.6","31","170","61","36","25","298","11.9","6","19","0","0","0","26","8","5","69","2.8","1.75"
"","10211","42302","","7c7b5515-7786-4e24-9ce0-34e6a8bd5727","Chris Manhertz","Giants","85","TE","47","0","16","2","2","1","7","7.0","0","0","0","0","0","1","0","0","6","6.0","0.44"
"","10669","43324","115292","705899da-3c20-4bc3-b5d0-2e6e40655131","Hunter Henry","Patriots","85","TE","75.3","93","601","246","105","74","945","12.8","8","46","6","0","0","82","25","13","392","5.3","1.57"
"","10715","43370","122658","90c2a93f-d837-4e1b-b57c-56648903a8db","Austin Hooper","Patriots","81","TE","67.3","30","254","75","34","24","287","12.0","2","16","0","0","0","24","6","4","105","4.4","1.13"
"","10728","43383","53554","c731aa8a-778b-4ccd-a19f-517eb66f47b7","Nick Vannett","Rams","38","TE","48.5","0","10","4","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.00"
"","10744","43399","72628","0df7912d-9e81-47ea-b4f7-d04986df4ee8","Tyler Higbee","Rams","89","TE","67.1","37","234","67","40","29","365","12.6","3","20","3","0","0","32","7","3","172","5.9","1.56"
"","11778","44835","119127","e21365af-8d66-416e-b0a5-8816d18fcfd9","Evan Engram","Broncos","01","TE","57.6","59","420","117","81","55","507","9.2","1","20","4","0","0","62","8","4","318","5.8","1.21"
"","11784","44841","173871","8f86fcea-90e8-49ea-bc78-5c7659313e57","David Njoku","Browns","85","TE","61.6","34","296","85","48","35","308","8.8","4","11","2","1","1","37","12","9","182","5.2","1.04"
"","11855","44912","110021","e4f25a37-74de-4bfb-b6c9-f50a4fab0b87","Jonnu Smith","Steelers","81","TE","49.4","47","340","115","60","40","221","5.5","2","10","2","1","0","44","8","3","185","4.6","0.65"
"","11901","44959","109513","2ada91b0-036e-454f-83c3-6d939ff584a9","George Kittle","49ers","85","TE","91","56","309","74","71","59","640","10.8","7","38","2","0","0","64","15","12","262","4.4","2.07"
"","11929","44987","68794","582dc00e-e7ec-4ca7-bff0-f7b1d604017b","Eric Saubert","Seahawks","81","TE","57.5","8","88","26","6","5","33","6.6","0","2","0","0","0","5","0","0","16","3.2","0.38"
"","12078","44792","","8809c0dd-786b-4255-a7d0-333c9498c19a","Mo Alie-Cox","Colts","81","TE","58","12","124","21","19","13","117","9.0","1","4","1","0","0","15","4","1","78","6.0","0.94"
"","12112","45244","194864","3c8a55dd-20a8-4375-b711-49eb5e6e1d0e","Taysom Hill","Saints","07","TE","50.7","9","88","15","16","12","109","9.1","0","2","3","0","0","15","1","0","94","7.8","1.24"
"","12193","45635","56747","7c9c7800-69d0-459b-812b-a07ac48e9f2a","Robert Tonyan","Chiefs","85","TE","46.9","2","37","10","1","1","1","1.0","0","0","0","0","0","1","0","0","0","0.0","0.03"
"","12206","45094","121244","6414998b-5831-44aa-8bd8-39e42a323c2c","Johnny Mundt","Jaguars","86","TE","46.6","15","148","21","17","9","111","12.3","0","6","3","0","0","12","3","0","76","8.4","0.75"
"","12247","45339","61040","6733b953-de77-44e5-acbf-c2d3a0940243","Pharaoh Brown","Cardinals","49","TE","48.2","2","20","3","2","2","1","0.5","0","0","0","0","0","2","0","0","1","0.5","0.05"
"","13756","52858","195189","689de342-1d99-4a4d-976d-f6573ef3a8c2","Giovanni Ricci","Lions","88","TE","49.4","0","9","3","1","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.00"
"","20994","46331","130765","70473218-5ae3-47b4-86fd-151e68f1e8b9","Ross Dwelley","Lions","82","TE","46.2","3","36","7","4","2","7","3.5","0","0","0","0","0","2","2","0","7","3.5","0.19"
